COMPLETE PROGRAMS REPORT
Total installed: 123
Total store apps: 163
Total running: 125
Total startup: 8

================================================================================
INSTALLED PROGRAMS (123)
================================================================================

jq | 1.8.1 | jqlang
Kubernetes - Minikube - A Local Kubernetes Development Environment | 1.38.0 | Kubernetes
lazygit | 0.57.0 | Jesse Duffield
LibreOffice 25.8.4.2 | 25.8.4.2 | The Document Foundation
LM Studio 0.3.39 | 0.3.39 | LM Studio
Maxx Audio Installer (x64) | 2.7.13058.0 | Waves Audio Ltd.
Microsoft .NET Host - 8.0.26 (x64) | 64.104.50421 | Microsoft Corporation
Microsoft .NET Host FX Resolver - 8.0.26 (x64) | 64.104.50421 | Microsoft Corporation
Microsoft .NET Runtime - 8.0.26 (x64) | 64.104.50421 | Microsoft Corporation
Microsoft Edge | 148.0.3967.54 | Microsoft Corporation
Microsoft Edge WebView2 Runtime | 148.0.3967.54 | Microsoft Corporation
Microsoft OneDrive | 26.070.0414.0001 | Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office | 1.25.24601 | Microsoft
Microsoft VC++ redistributables repacked. | 12.0.0.0 | Intel Corporation
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211 | 14.44.35211.0 | Microsoft Corporation
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211 | 14.44.35211.0 | Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211 | 14.44.35211 | Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211 | 14.44.35211 | Microsoft Corporation
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211 | 14.44.35211 | Microsoft Corporation
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211 | 14.44.35211 | Microsoft Corporation
Microsoft Visual Studio Code (User) | 1.119.1 | Microsoft Corporation
Microsoft Visual Studio Installer | 4.5.35.35368 | Microsoft Corporation
Microsoft Visual Studio Setup Configuration | 3.12.2140.44225 | Microsoft Corporation
Microsoft Visual Studio Setup WMI Provider | 3.12.2140.44225 | Microsoft Corporation
Microsoft Windows Desktop Runtime - 8.0.26 (x64) | 64.104.50433 | Microsoft Corporation
MiKTeX | 24.1 | MiKTeX.org
MosUnst | 2.0.2.0 | ASIX Electronics Corporation
Node.js | 22.20.0 | Node.js Foundation
Npgsql 3.2.6 | 3.2.6-3 | EnterpriseDB
OBS Studio | 32.0.4 | OBS Project
Obsidian | 1.9.14 | Obsidian
ONLYOFFICE | 9.3.1.8 | Ascensio System SIA
ONLYOFFICE 9.3.1 (x64) | 9.3.1.8 | Ascensio System SIA
OptaneDowngradeGuard | 18.0.0.0 | Intel Corporation
Pandoc 3.8.3 | 3.8.3 | John MacFarlane
PostgreSQL 17  | 17.7-1 | PostgreSQL Global Development Group
Postman x86_64 11.66.4 | 11.66.4 | Postman
PowerToys (Preview) | 0.96.1 | Microsoft Corporation
PowerToys (Preview) x64 | 0.96.1 | Microsoft Corporation
Python 3.11.9 (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Add to Path (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Core Interpreter (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Development Libraries (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Documentation (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Executables (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 pip Bootstrap (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Standard Library (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Tcl/Tk Support (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Test Suite (64-bit) | 3.11.9150.0 | Python Software Foundation
Python 3.11.9 Utility Scripts (64-bit) | 3.11.9150.0 | Python Software Foundation
Python Launcher | 3.11.9150.0 | Python Software Foundation
Realtek Audio COM Components | 1.0.2 | Realtek Semiconductor Corp.
Realtek Audio Driver | 6.0.9107.1 | Realtek Semiconductor Corp.
Realtek Card Reader | 10.0.26100.21374 | Realtek Semiconductor Corp.
Realtek USB Audio | 6.3.9600.2172 | Realtek Semiconductor Corp.
Realtek USB Ethernet Controller All-In-One Windows Driver | 11.17.20.1030 | Realtek
RipGrep MSVC | 15.1.0 | BurntSushi
RstDowngradeGuard | 18.0.0.0 | Intel Corporation
starship | 1.24.1 | Starship Contributors
Stirling-PDF | 2.10.0 | Stirling PDF Inc.
TbtLegacyPlug | 18.0.0.0 | kbedohi
Tesseract-OCR - open source OCR engine | 5.5.0.20241111 | Tesseract-OCR community
Thunderbolt™ Software | 1.54.0.0 | Intel(R) Corporation
Visual Studio Community 2022 | 17.14.30 | Microsoft Corporation
vs_communitymsires | 17.14.36015 | Microsoft Corporation
vs_communitysharedmsi | 17.14.36025 | Microsoft Corporation
vs_communityx64msi | 17.14.36025 | Microsoft Corporation
vs_CoreEditorFonts | 17.7.40001 | Microsoft Corporation
vs_devenvsharedmsi | 17.14.36015 | Microsoft Corporation
vs_devenx64vmsi | 17.14.36015 | Microsoft Corporation
vs_filehandler_amd64 | 17.14.36024 | Microsoft Corporation
vs_filehandler_x86 | 17.14.36024 | Microsoft Corporation
vs_FileTracker_Singleton | 17.14.36015 | Microsoft Corporation
vs_githubprotocolhandlermsi | 17.14.36015 | Microsoft Corporation
vs_minshellinteropsharedmsi | 17.14.36015 | Microsoft Corporation
vs_minshellinteropx64msi | 17.14.36015 | Microsoft Corporation
vs_minshellmsires | 17.14.36015 | Microsoft Corporation
vs_minshellsharedmsi | 17.14.36024 | Microsoft Corporation
vs_minshellx64msi | 17.14.36301 | Microsoft Corporation
vs_tipsmsi | 17.14.36015 | Microsoft Corporation
vs_vswebprotocolselectormsi | 17.14.36323 | Microsoft Corporation
WezTerm version 20240203-110809-5046fc22 | 20240203-110809-5046fc22 | Wez Furlong
Wget | 1.21.4 | Jernej Simoncic
Windows 11 Installation Assistant | 1.4.19041.6448 | Microsoft Corporation
Windows Subsystem for Linux | 2.6.1.0 | Microsoft Corporation
WizTree v4.28 | 4.28 | Antibody Software
Zebar | 3.1.1 | Glzr Software Pte. Ltd.
Zen Browser (x64 en-US) | 1.18.1b | Zen OSS Team
Zoom Workplace | 6.7.8 (32670) | Zoom Communications, Inc.
zoxide | 0.9.8 | Ajeet D'Souza

================================================================================
MICROSOFT STORE APPS (163)
================================================================================

11413PtruceanBogdan.Wintoys | 2.4.12.0 | CN=38903382-DB59-47AA-88DA-F5FEB5192385
1527c705-839a-4832-9118-54d4Bd6a0c89 | 10.0.19640.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
21676OptimiliaStudios.ReadAloud | 2.1.40.0 | CN=4B45AB52-CF8E-4638-8A2B-A4C53035C6B9
AIToolkit.Inference.Agent | 1.1.0.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
AppleInc.iCloud | 15.7.56.0 | CN=5BD5593D-A41B-4F89-884E-B4F3E0FBAA75
AppUp.IntelGraphicsExperience | 1.100.5688.0 | CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3
AppUp.IntelOptaneMemoryandStorageManagement | 18.1.1042.0 | CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3
AppUp.ThunderboltControlCenter | 1.0.37.0 | CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3
c5e2524a-ea46-4f67-841f-6a9465d9d515 | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Dell.SupportAssistforPCs | 5.0.1.0 | CN=Dell Technologies Inc., OU=SupportAssist Client, O=Dell Technologies Inc., L=Round Rock, S=Texas, C=US
E2A4F912-2574-4A75-9BB0-0D023378592B | 10.0.19640.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Enflick.TextNow-UnlimitedTextCalls | 23.21.0.0 | CN=70176DE0-98A5-4827-AA28-0D9D627036F0
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.AAD.BrokerPlugin | 1000.19580.1000.2 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.AccountsControl | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Advertising.Xaml | 10.1811.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Advertising.Xaml | 10.1811.1.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.ApplicationCompatibilityEnhancements | 1.2511.9.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.AsyncTextService | 10.0.26100.1 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.AV1VideoExtension | 2.0.7.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.AVCEncoderVideoExtension | 1.1.23.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.BingSearch | 1.1.40.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.BingWeather | 4.54.63040.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.BioEnrollment | 10.0.19587.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.CommandPalette | 0.7.3271.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.CredDialogHost | 10.0.19595.1001 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.DesktopAppInstaller | 1.28.240.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.ECApp | 10.0.26100.8246 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Edge.GameAssist | 1.0.3590.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.GetHelp | 10.2409.41132.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.HEIFImageExtension | 1.2.30.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.HEVCVideoExtension | 2.4.43.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
